role_query,term,tfidf
Data Analyst,data,0.7549411198874343
Data Analyst,experience,0.25600079497913
Data Analyst,work,0.18938834322435635
Data Analyst,business,0.1771978291777311
Data Analyst,support,0.13932016053285984
Data Analyst,skills,0.13322490350954722
Data Analyst,team,0.13322490350954722
Data Analyst,role,0.12364664247291311
Data Analyst,analysis,0.12103438946292198
Data Analyst,analytics,0.11232687942961825
Data Analyst,ability,0.08446284732304628
Data Analyst,working,0.08272134531638553
Data Analyst,including,0.08228596981472035
Data Analyst,management,0.08097984330972478
Data Analyst,insights,0.07531996178807736
Data Analyst,strong,0.07444921078474698
Data Analyst,job,0.0740138352830818
Data Analyst,tools,0.07314308427975141
Data Analyst,years,0.07140158227309067
Data Analyst,time,0.06835395376143436
Data Analyst,sql,0.0670478272564388
Data Analyst,quality,0.06661245175477361
Data Analyst,systems,0.06530632524977804
Data Analyst,information,0.06487094974811286
Data Analyst,ensure,0.06225869673812174
Data Analyst,teams,0.06225869673812174
Data Analyst,performance,0.06095257023312618
Data Analyst,provide,0.06095257023312618
Data Analyst,complex,0.058775692724800245
Data Analyst,based,0.05834031722313506
Data Analyst,development,0.05790494172146987
Data Analyst,requirements,0.0570341907181395
Data Analyst,health,0.056163439714809124
Data Analyst,opportunity,0.056163439714809124
Data Analyst,knowledge,0.05485731320981356
Data Analyst,required,0.05442193770814838
Data Analyst,new,0.05398656220648319
Data Analyst,ai,0.053551186704818
Data Analyst,company,0.053551186704818
Data Analyst,technical,0.053551186704818
Data Analyst,related,0.05268043570148763
Data Analyst,opportunities,0.05224506019982244
Data Analyst,position,0.051809684698157256
Data Analyst,benefits,0.051374309196492066
Data Analyst,develop,0.051374309196492066
Data Analyst,people,0.05050355819316169
Data Analyst,process,0.05050355819316169
Data Analyst,using,0.048326680684835754
Data Analyst,help,0.0470205541798402
Data Analyst,ll,0.04658517867817501
Data Analyst,stakeholders,0.04527905217317945
Data Analyst,environment,0.04484367667151426
Data Analyst,product,0.043972925668183886
Data Analyst,solutions,0.043972925668183886
